
style-guide.css
 1133:1   ✖  Expected selector "img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(2) img"                                                no-descending-specificity                        
 1133:1   ✖  Expected selector "img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(3) img"                                                no-descending-specificity                        
 1133:1   ✖  Expected selector "img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(4) img"                                                no-descending-specificity                        
 1133:1   ✖  Unexpected duplicate selector "img", first used at line 201                                                                                         no-duplicate-selectors                           
 1136:1   ✖  Unexpected duplicate selector "input, textarea, select", first used at line 204                                                                     no-duplicate-selectors                           
 1138:1   ✖  Expected selector "select" to come before selector "select:focus"                                                                                   no-descending-specificity                        
 1142:1   ✖  Unexpected duplicate selector "header", first used at line 210                                                                                      no-duplicate-selectors                           
 1150:3   ✖  Unexpected duplicate selector "header nav", first used at line 218                                                                                  no-duplicate-selectors                           
 1160:1   ✖  Unexpected duplicate selector ".cd-logo", first used at line 228                                                                                    no-duplicate-selectors                           
 1164:3   ✖  Expected selector ".cd-logo img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(1) img"                                       no-descending-specificity                        
 1164:3   ✖  Expected selector ".cd-logo img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(2) img"                                       no-descending-specificity                        
 1164:3   ✖  Expected selector ".cd-logo img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(3) img"                                       no-descending-specificity                        
 1164:3   ✖  Expected selector ".cd-logo img" to come before selector ".cd-branding ul:last-of-type li:nth-of-type(4) img"                                       no-descending-specificity                        
 1164:3   ✖  Unexpected duplicate selector ".cd-logo img", first used at line 232                                                                                no-duplicate-selectors                           
 1178:1   ✖  Unexpected duplicate selector ".cd-nav-trigger", first used at line 246                                                                             no-duplicate-selectors                           
 1188:3   ✖  Expected selector ".cd-nav-trigger span" to come before selector ".no-touch .cd-download:hover span"                                                no-descending-specificity                        
 1188:3   ✖  Expected selector ".cd-nav-trigger span" to come before selector ".nav-is-visible .cd-nav-trigger span"                                             no-descending-specificity                        
 1188:3   ✖  Expected selector ".cd-nav-trigger span" to come before selector ".cd-buttons .cd-box:nth-of-type(2) span"                                          no-descending-specificity                        
 1188:3   ✖  Unexpected duplicate selector ".cd-nav-trigger span", first used at line 256                                                                        no-duplicate-selectors                           
 1199:5   ✖  Expected selector ".cd-nav-trigger span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                             no-descending-specificity                        
 1199:5   ✖  Expected selector ".cd-nav-trigger span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                             no-descending-specificity                        
 1199:5   ✖  Unexpected duplicate selector ".cd-nav-trigger span::before, .cd-nav-trigger span::after", first used at line 267                                   no-duplicate-selectors                           
 1199:35  ✖  Expected selector ".cd-nav-trigger span::after" to come before selector ".nav-is-visible .cd-nav-trigger span::after"                               no-descending-specificity                        
 1199:35  ✖  Expected selector ".cd-nav-trigger span::after" to come before selector ".nav-is-visible .cd-nav-trigger span::after"                               no-descending-specificity                        
 1216:5   ✖  Expected selector ".cd-nav-trigger span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                             no-descending-specificity                        
 1216:5   ✖  Expected selector ".cd-nav-trigger span::before" to come before selector ".nav-is-visible .cd-nav-trigger span::before"                             no-descending-specificity                        
 1216:5   ✖  Unexpected duplicate selector ".cd-nav-trigger span::before", first used at line 284                                                                no-duplicate-selectors                           
 1222:5   ✖  Expected selector ".cd-nav-trigger span::after" to come before selector ".nav-is-visible .cd-nav-trigger span::after"                               no-descending-specificity                        
 1222:5   ✖  Expected selector ".cd-nav-trigger span::after" to come before selector ".nav-is-visible .cd-nav-trigger span::after"                               no-descending-specificity                        
 1222:5   ✖  Unexpected duplicate selector ".cd-nav-trigger span::after", first used at line 290                                                                 no-duplicate-selectors                           
 1232:1   ✖  Expected selector ".cd-main-nav" to come before selector ".nav-is-visible .cd-main-nav"                                                             no-descending-specificity                        
 1232:1   ✖  Unexpected duplicate selector ".cd-main-nav", first used at line 300                                                                                no-duplicate-selectors                           
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-main-nav li:first-of-type a"                                                     no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-primary-nav ul li a"                                                             no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-primary-nav ul li a:visited"                                                     no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-primary-nav ul li a:hover"                                                       no-descending-specificity                        
 1248:3   ✖  Expected selector ".cd-main-nav li a" to come before selector ".cd-primary-nav ul li a:active"                                                      no-descending-specificity                        
